,majority,majority_loser,condorcet_winner,condorcet_loser,count_viols
Neural Network,0,0,0,21,0
Random Choice,0,0,0,52,0
Borda ranking,0,0,0,0,0
Plurality ranking,0,0,0,1,0
Approval Voting (AV),0,0,0,0,0
Proportional Approval Voting (PAV),0,0,0,0,0
Approval Chamberlin-Courant (CC),0,0,0,53,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,0,2,0
Sequential Approval Chamberlin-Courant (seq-CC),0,0,0,2,0
Monroe's Approval Rule (Monroe),0,0,0,53,0
Greedy Monroe,0,0,0,0,0
Minimax Approval Voting (MAV),0,0,0,53,0
