,majority,majority_loser,condorcet_winner,condorcet_loser,drummetts_condition,count_viols
Neural Network,0,0,153,0,0,0
Random Choice,0,0,5072,1617,0,0
Borda ranking,0,0,350,0,0,0
Plurality ranking,0,0,1629,23,0,0
Approval Voting (AV),0,0,548,18,0,0
Proportional Approval Voting (PAV),0,0,548,18,0,0
Approval Chamberlin-Courant (CC),0,0,4977,1713,0,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,548,18,0,0
Sequential Approval Chamberlin-Courant (seq-CC),0,0,4687,567,0,0
Monroe's Approval Rule (Monroe),0,0,3166,1063,0,0
Greedy Monroe,0,0,1177,70,0,0
Minimax Approval Voting (MAV),0,0,4896,1680,0,0
